date,time,location,State,Country_orig,Country,country_trim,country_code,operator,operator_code,flight_no,route,ac_type,registration,cn_ln,aboard,aboard_count,fatalities,fatal_count,ground,summary
22-Apr-60,?,Bunia, Belgian Congo,,Belgian Congo,Belgian Congo,1450,Sobelair SA (Belgium),24450,?,Cairo - Bunia,Douglas C-54B,OO-SBL,3099,35   (passengers:28  crew:7),35 ,35   (passengers:28  crew:7),35 ,0,Crashed into mountain while on approach. Crew error. The decision by the pilot in descending below the minimum ceiling prescribed.
13-May-48,11:00,Near Magazini, Belgian Congo,,Belgian Congo,Belgian Congo,1450,Sabena,23050,?,Leopoldville - Libenga,Douglas DC-4-1009,OO-CBE,42932,32   (passengers:25  crew:7),32 ,31   (passengers:24  crew:7),31 ,0,"While cruising, the aircraft penetrated a very turbulent line of clouds, lost height and crashed into a forest. The aircraft apparently flew into a tornado at low altitude."
5-Mar-15,c 01:00,Tienen, Belgium,,Belgium,Belgium,1460,Military - German Navy,17660,?,?,Zeppelin L-8 (airship),?,?,41   (passengers:?  crew:?),41 ,21   (passengers:?  crew:?),21 ,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
4-Mar-17,?,Near Gent, Belgium,,Belgium,Belgium,1460,Military - German Army,17650,?,?,Airship,?,?,20   (passengers:?  crew:?),20 ,20   (passengers:?  crew:?),20 ,0,Caught fire and crashed.
9-Jul-26,930,Wolvertem, Belgium,,Belgium,Belgium,1460,KLM Royal Dutch Airlines,14910,?,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2   (passengers:1  crew:1),2 ,2   (passengers:1  crew:1),2 ,0,Crashed into the ground while descending in poor weather.
8-Jan-31,?,Melle, Belgium,,Belgium,Belgium,1460,Sabena,23050,?,Brussels - London,Fokker F-VII,OO-AIL,?,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,"After deciding to return to his base because of fog, the pilot lowered his altitude and struck the ground."
28-Mar-33,14:30,Near Dixmude, Belgium,,Belgium,Belgium,1460,Imperial Airways,13670,?,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,G-AACI,AW-363,15   (passengers:12  crew:3),15 ,15   (passengers:12  crew:3),15 ,0,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool."
30-Dec-33,c 13:00,Near Ruysselede, Belgium,,Belgium,Belgium,1460,Imperial Airways,13670,?,"Brussels, Belgium - Croydon, England",Avro 10,G-ABLU,528,10   (passengers:8  crew:2),10 ,10   (passengers:8  crew:2),10 ,0,Crashed into a radio antenna tower and tore off a wing  in dense  fog.
28-Jul-37,10:40,Hal, Belgium,,Belgium,Belgium,1460,KLM Royal Dutch Airlines,14910,?,Amsterdam - Paris,Douglas DC-2-115L,PH-ALF,1585,15   (passengers:10  crew:5),15 ,15   (passengers:10  crew:5),15 ,0,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.
16-Nov-37,c 14:30,Ostende, Belgium,,Belgium,Belgium,1460,Sabena,23050,?,Cologne - Brussels - London,Junkers JU-52/3m,OO-AUB,5827,11   (passengers:8  crew:3),11 ,11   (passengers:8  crew:3),11 ,0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather
conditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility."
14-Mar-39,?,Haren, Belgium,,Belgium,Belgium,1460,Sabena,23050,?,?,Junkers JU-52,OO-AUA,?,3   (passengers:?  crew:?),3 ,3   (passengers:?  crew:?),3 ,0,?
13-Oct-45,20:45,Melsbroek, Belgium,,Belgium,Belgium,1460,Military -Royal Air Force,19180,?,Belgium - India,Consolidated LB-30-A Liberator,KL595,?,31   (passengers:25  crew:6),31 ,31   (passengers:25  crew:6),31 ,0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.
17-Sep-46,1:17,Brussels, Belgium,,Belgium,Belgium,1460,Sabena,23050,?,Brussels - Croydon,Douglas C-47-DL,OO-AUR,4549,7   (passengers:4  crew:3),7 ,1   (passengers:0  crew:1),1 ,0,During its climb the plane rolled and crashed into hangers. Loss of airspeed for undetermined reasons.
1-Jul-48,12;00,Keerbergen, Belgium,,Belgium,Belgium,1460,Avio Linee Italiane,6950,?,Milano - Brussels,Fiat G.212CP,I-ELSA,4,12   (passengers:7  crew:5),12 ,8   (passengers:4  crew:4),8 ,0,Crashed after overrunning the runway in heavy rain.
15-Feb-61,10:05,Near Brussels, Belgium,,Belgium,Belgium,1460,Sabena,23050,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72   (passengers:61  crew:11),72 ,72   (passengers:61  crew:11),72 ,1,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers."
12-Dec-61,?,Chievres, Belgium,,Belgium,Belgium,1460,Military - Belgian Air Force,17170,?,?,Fairchild C-119G / Fairchild C-119,CP-23 / CP-25,10951/ 11082,13   (passengers:0  crew:13),13 ,13   (passengers:0  crew:13),13 ,8,Midair collision between two C-119s.
20-Aug-65,13:08,Jeuk, Belgium,,Belgium,Belgium,1460,LOT Polish Airlines,16210,?,Lille - Wroclaw,Vickers 804 Viscount,SP-LVA,249,4   (passengers:0  crew:4),4 ,4   (passengers:0  crew:4),4 ,0,After making a request to change course to avoid heavy weather the positioning flight suddenly descended and crashed. The overall atmospheric conditions in the vicinity of Jeuk and the circumstances of the accident were such that it was assumed that the pilot lost control of the aircraft when entering a cumulonimbus cloud.
30-Jun-99,2:42,Seraing, Belgium,,Belgium,Belgium,1460,Nightexpress,19950,114,"London, England - Frankfort, Germany",Beechcraft 99,D-IBEX,U- 45,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,The cargo plane lost both engines while on approach and crashed into a wooded area. Improper maintenace caused the engine failure. The crew did not follow company procedures.
19-Oct-13,15:45,Fernelmont, Belgium,,Belgium,Belgium,1460,Aeroparaclub Namur,2190,?,Parachuting,Pilatus PC-6/B2-H4 Turbo Porter,OO-NAC,710,11   (passengers:10  crew:1),11 ,11   (passengers:10  crew:1),11 ,0,Ten members of a parachuting club and he pilot were killed when the plane they were on lost altitude and crashed shortly after taking off.
31-Aug-48,?,Near Elizabethville, Belgian Congo,,Belgian Congo,Belgian Congo,1450,Sabena,23050,?,Manono - Elizabethville,Douglas DC-3 (Douglas C-47A-10-DK),OO-CBL,12420,13   (passengers:10  crew:3),13 ,13   (passengers:10  crew:3),13 ,0,Crashed en route. Reasons undetermined.
1-Apr-91,15:00,Off San Pedro, Belize,,Belize,Belize,1470,Tropic Air - Air Taxi,27220,?,Zeldiver - San Pedro,Cessna 402B,N402BL,402B0827,8   (passengers:7  crew:1),8 ,8   (passengers:7  crew:1),8 ,0,The air taxi crashed into the Caribbean.
11-Dec-00,14:45,Near Sumacal, Beni, BO,Beni,Beni,1480,Servicio Aereo Manchupo,23780,?,Cashaschanes - Sumacal,Cessna 206,CP-1721,?,6   (passengers:5  crew:1),6 ,6   (passengers:5  crew:1),6 ,0,"Destabilized approach, attempted to establish runway alignment, insufficient altitude, struck a tree. The aircraft crashed and caught fire."
25-Dec-03,14:55,Cotonou, Benin,,Benin,Benin,1490,Union des Transports Aeriens de Guinee,27500,141,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon",Boeing B-727-223,3X-GDO,21370/1276,161   (passengers:151  crew:10),161 ,140   (passengers:132  crew:8),140 ,0,"The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed. The pilot was tried, convicted and sentenced to 20 years in jail by a Lebanese court."
6-Dec-52,4:40,Off Bermuda-Kindley Field, Bermuda,,Bermuda,Bermuda,1500,Cubana de Aviacion,10180,?,Madrid - Azores - Bermuda - Havana,Douglas DC-4,CU-T397,10319,41   (passengers:33  crew:8),41 ,37   (passengers:30  crew:7),37 ,0,"Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called ""The Star of the East."""
13-Jan-51,?,Mt. Bukit, Besar,Thailand,Besar,Besar,1510,Air Carriers,2860,?,Butterworth - Kota Bharu,Douglas DC-3,VR-HEP,15782/32530,10   (passengers:7  crew:3),10 ,10   (passengers:7  crew:3),10 ,0,Crashed into Bukit Besar Mountain while en route.
25-Nov-50,?,Khitka, Bhutan,,Bhutan,Bhutan,1520,Indamer,13710,?,?,Douglas C-47A,VT-COI,14037/25482,3   (passengers:0  crew:3),3 ,3   (passengers:0  crew:3),3 ,0,Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.
28-Sep-68,?,Port Harcourt, Biafra, Nigeria,Biafra,Biafra,1530,Pan African Airlines,20910,?,Lagos - Port Harcourt,Douglas C-54B,N90427,10445,57   (passengers:55  crew:2),57 ,57   (passengers:55  crew:2),57 ,1,"While on final approach, the aircraft hit trees and crashed into a village and caught fire."
8-Aug-37,10:50,Chilang Point, Bias Bay, China,Bias Bay,Bias Bay,1540,China National Aviation Corporation,9330,?,Canton - Shanghi,Sikorsky S-43,NC16930,?,11   (passengers:8  crew:3),11 ,3   (passengers:0  crew:3),3 ,0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued. The aircraft was named Chekiang.
31-Mar-84,c 08:30,Off  Bimini,,,Bimini,Bimini,1550,State Airlines,25100,?,Ft. Lauderdale - Bimini,Cessna 402B,N44NC,402B-0852,6   (passengers:5  crew:1),6 ,6   (passengers:5  crew:1),6 ,0,"Slowed to 90 knts and soon after began to descent at 5,400 fpm and disappeared from radar and crashed into the sea. The wreckage was never found."
28-Apr-08,9:38,Off Crimea, Black Sea,,Black Sea,Black Sea,1560,Naftogaz,19580,?,?,Mil Mi-8T,UR-24275,98734295,20   (passengers:18  crew:2),20 ,20   (passengers:18  crew:2),20 ,0,The helicopter crashed after the tail section hit the tower of the offshore drilling platform while it was attempting to land. The pilot was a trainee flying with an instructor. One survivor succumbed to his injuries soon after the crash.
17-Jan-36,?,Near Cordillera, Boliva,,Boliva,Boliva,1570,Lloyd Aereo Boliviano,16080,?,Cochabamba - La Paz,Junkers JU-52,?,4018,13   (passengers:10  crew:3),13 ,13   (passengers:10  crew:3),13 ,0,"Crashed in the Tapacari swamps, 23 miles from Chochabanba."
23-Feb-74,?,San Francisco de Moxos,  Bolivia,,Bolivia,Bolivia,1580,SAVCO,23440,?,?,Curtiss C-46A-45-CU,CP-1052,30195,7   (passengers:4  crew:3),7 ,7   (passengers:4  crew:3),7 ,0,Severe turbulence possibly caused the failure of ropes securing cargo. The center of gravity shifted causing a loss of control. The wreckage was found 2 days later.
26-Oct-32,?,Villa Monte, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aero Boliviano,16100,?,?,Ford Tri-motor 5,?,?,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.
4-Nov-40,?,Near Rincon, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aero Boliviano SA,16110,?,Santa Cruz - Corumba,Junkers Ju-52/3m,CB-17,?,17   (passengers:?  crew:?),17 ,17   (passengers:?  crew:?),17 ,0,Crashe in a storm while en route. Wreckage found 15 months later.
20-Jan-50,12:00,Near Vacas, Bolivia,,Bolivia,Bolivia,1580,Military - Bolivian Air Force,17180,?,Valle grande - Cochabamba,Douglas C-47,TAM-10,?,32   (passengers:28  crew:4),32 ,32   (passengers:28  crew:4),32 ,0,Crashed while en route in the Andes mountains after encountering a thunderstorm.
29-Jul-51,?,Cochabamba, Bolivia,,Bolivia,Bolivia,1580,Loide Aéreo Nacional,16160,?,Cochabamba - Rio de Janeiro,Curtiss C-46A,CB-39,26488,7   (passengers:4  crew:3),7 ,7   (passengers:4  crew:3),7 ,0,Crashed on takeoff.
29-Sep-51,?,La Paz, Bolivia,,Bolivia,Bolivia,1580,Frigorifico Cooperativo Los Andes,12080,?,?,Curtiss C-46D-15-CU,CB-43,33346,27   (passengers:?  crew:?),27 ,27   (passengers:?  crew:?),27 ,0,?
3-Nov-53,?,Tarabuco, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,Camiri - Sucre,Douglas DC-3,CP-600,2181,28   (passengers:25  crew:3),28 ,28   (passengers:25  crew:3),28 ,0,"Crashed into the Rodeo Pampa mountains during an approach to Sucre, 18 miles from its destination."
18-Mar-57,?,Near Sayari, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,Cochabamba - Oruro,Douglas DC-3,CP-535,4867,19   (passengers:16  crew:3),19 ,19   (passengers:16  crew:3),19 ,0,Crashed into Andies peak while en route. Wreckage found 100 miles northeast of Cochabamba.
20-Jan-58,?,Near La Paz, Bolivia,,Bolivia,Bolivia,1580,TAM (Bolivia),25760,?,Tipuani - La Paz,Douglas DC-3,TAM-04,?,11   (passengers:7  crew:4),11 ,11   (passengers:7  crew:4),11 ,0,Crashed in mountainous terrain while en route.
15-Oct-58,?,Villa Montes, Bolivia,,Bolivia,Bolivia,1580,TAM (Bolivia),25760,?,Fortin Campero - Tarija,Douglas C-47A,TAM-03,13839,20   (passengers:17  crew:3),20 ,20   (passengers:17  crew:3),20 ,0,Crashed into mountain while en route.
8-Nov-58,?,La Paz, Bolivia,,Bolivia,Bolivia,1580,TAM (Bolivia),25760,?,San Borja - La Paz,Douglas DC-3,TAM-05,?,3   (passengers:0  crew:3),3 ,3   (passengers:0  crew:3),3 ,0,The cargo plane disappeared en route.
31-Dec-59,?,Near San Jose de Chiquitos, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,?,Douglas DC-3,CP-584,19226,11   (passengers:?  crew:?),11 ,11   (passengers:?  crew:?),11 ,0,Crashed on takeoff.
5-Feb-60,720,Cochabamba, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,Cochabamba - La Paz,Douglas DC-4,CP-609,10510,59   (passengers:55  crew:4),59 ,59   (passengers:55  crew:4),59 ,0,"Few minutes after takeoff and reaching an altitude of 9,000 feet, the captain stated that an engine exploded. Shortly thereafter, the airplane went out of control and crashed in Laguna Huanacota, about 13 km south of the airport. A two-year-old girl survived but later died from her injuries.Investigators believed that the maximum takeoff weight was exceeded and this contributed to the engine exploding."
1-Aug-60,?,Near Tipuani, Bolivia,,Bolivia,Bolivia,1580,TAM (Bolivia),25760,?,La Paz - Tipuani,Douglas C-47,TAM-09,9030,6   (passengers:4  crew:2),6 ,6   (passengers:4  crew:2),6 ,0,The DC-3 crashed into Hayti Mountain while en route.
10-Sep-62,?,Near Alcoche, Bolivia,,Bolivia,Bolivia,1580,Aerolineas Abaroa,1940,?,Caranavi - Rurrenabaque,Douglas C-47A,CP-710,20230,4   (passengers:2  crew:2),4 ,4   (passengers:2  crew:2),4 ,0,"The failure of the left engine and execution of a sharp 180 degree turn to the left of the original flight path. This was the only possible maneuver since the valley ahead narrowed and a turn to the right could not be effected, because the aircraft was close to - and below the altitude of - a mountain on that side."
4-Feb-64,?,Yacuiba, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aéreo Boliviano,16070,?,?,Douglas DC-3,CP- 568,19024,29   (passengers:26  crew:3),29 ,2   (passengers:?  crew:?),2 ,0,The aircraft crashed shortly after taking off.
22-Aug-64,?,Near Tipuani, Bolivia,,Bolivia,Bolivia,1580,Servicios Aéreos Cochabamba,23810,?,La Paz - Tipuani,Douglas C-47A-25-DK,CP-680,13371,4   (passengers:2  crew:2),4 ,4   (passengers:2  crew:2),4 ,0,Struck Huayna Hill in poor weather. The flight was conducted in IMC conditions at an altitude unsafe for operations of that nature through the Huayna Pass.
8-Dec-64,10:48,Tripuani, Bolivia,,Bolivia,Bolivia,1580,Aerolineas Abaroa,1940,?,Tipuani - La Paz,Douglas DC-3,CP-639,7375,17   (passengers:13  crew:4),17 ,17   (passengers:13  crew:4),17 ,0,The plane crashed in the Andes Mountains after an explosion blew off the tail of the aircraft. Detonation of a bomb in the tail section of the passenger cabin. A suicide-for-insurance plot was suspected.
3-Aug-66,?,Benito, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aéreo Boliviano,16070,?,Riberalta - Cochabamba,Curtiss C-46D,CP-730,33457,3   (passengers:0  crew:3),3 ,3   (passengers:0  crew:3),3 ,0,"The cargo  aircraft was not being flown at the recommended altitude when it reached mountains to be crossed, nor whas it at the proper crossing point. A secondary factor was the lack of navigational aids in the area."
26-Sep-69,15:10,Near La Paz, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,Santa Cruz - La Paz,Douglas DC-6B,CP-698,43273/191,74   (passengers:69  crew:5),74 ,74   (passengers:69  crew:5),74 ,0,"Hit 15,500 ft. Mt. Choquetanga. Cause unknown. All members of the Bolivian soccer team The Strongest, killed."
7-Sep-72,17:57,Trinidad, Bolivia,,Bolivia,Bolivia,1580,Servicios Aereas Virgen de Copacabana,23830,?,?,Curtiss C-46A-40-CU,CP-959,26903,8   (passengers:6  crew:2),8 ,1   (passengers:0  crew:1),1 ,0,"The No.1 engine failed during takeoff, the aircraft banked left, lost height, touched down again and ran through small trees and a fence . The right gear collapsed and the nose hit the ground."
6-Jan-74,?,Unduavi, Bolivia,,Bolivia,Bolivia,1580,Servicios Aéreos Boliviano,23800,?,San Borja - La Paz,Curtiss C-46F,CP-990,22490,4   (passengers:1  crew:3),4 ,4   (passengers:1  crew:3),4 ,0,The cargo plane hit a mountain en route.
10-Jan-74,?,La Paz, Bolivia,,Bolivia,Bolivia,1580,TAM (Bolivia),25760,?,Santa Rose - La Paz,Douglas C-54,TAM-52,?,24   (passengers:21  crew:3),24 ,24   (passengers:21  crew:3),24 ,0,The non-scheduled passenger flight crashed while en route to La Paz.
18-Aug-74,?,Near La Paz, Bolivia,,Bolivia,Bolivia,1580,Military - U.S. Air Force,18690,?,"Howard AFB, Panama - La Paz, Bolivia",Lockheed C-141A,65-0274,300-6126,7   (passengers:0  crew:7),7 ,7   (passengers:0  crew:7),7 ,0,Navigational error. Crew started their descent prematurely and struck a mountain.
27-Oct-75,c 06:45,Tomonoco, Bolivia,,Bolivia,Bolivia,1580,TAM (Bolivia),25760,?,Tomonoco - La Paz,Convair CV-440-12,TAM-44,328,67   (passengers:63  crew:4),67 ,67   (passengers:63  crew:4),67 ,0,The aircraft took off reaching a altitude of only 300 feet which was insufficient to clear the terrain surrounding the airport. Cause not determined. Overloaded.
18-Jan-76,15:44,Near San Borja, Bolivia,,Bolivia,Bolivia,1580,Frigorifico Maniqui,12090,?,?,Douglas C-47,CP- 573,4682,10   (passengers:7  crew:3),10 ,7   (passengers:4  crew:3),7 ,0,"The plane was forced to return to San Borja after the No.2 engine failed.  After crossing the runway the plane crashed into trees 1.2 miles past the end of the runway. Malfunction or failure of the No. 2 engine, landing gear malfunction and an improper landing procedure."
13-Oct-76,?,Santa Cruz, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aéreo Boliviano,16070,?,Santa Cruz - Viru,Boeing B-707-31,N730JP,17671/48,3   (passengers:0  crew:3),3 ,3   (passengers:0  crew:3),3 ,113,"The aircraft failed to climb and crashed into trees, poles and houses at the end of the runway and came to rest in a soccer field 560 meters beyond the runway. The failure of the crew to select enough thrust to achieve the necessary acceleration. Crew fatigue."
27-Jan-77,?,San Ramon, Bolivia,,Bolivia,Bolivia,1580,Transportes Aéreos Itenez,27020,?,?,Fairchild C-82,CP-983,10147,6   (passengers:?  crew:?),6 ,6   (passengers:?  crew:?),6 ,0,?
14-Aug-78,?,Sogamoso, Bolivia,,Bolivia,Bolivia,1580,Aeropeca,2200,?,?,Curtiss C-46,HK-1350,22557,18   (passengers:15  crew:3),18 ,18   (passengers:15  crew:3),18 ,0,"The aircraft, flying VFR, collided with a mountain in deteriorating weather condtions after being blown off course which went unnoticed because of lacking navigational equipment."
12-Dec-79,?,Apolo, Bolivia,,Bolivia,Bolivia,1580,CAMBA,8410,?,?,Martin 404,CP-1440,14114,11   (passengers:?  crew:?),11 ,10   (passengers:?  crew:?),10 ,0,?
2-Jun-80,?,Near Yachiba, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,?,Fairchild F-27J,CP-1117,118,13   (passengers:10  crew:3),13 ,13   (passengers:10  crew:3),13 ,0,Crashed in the Tapecua mountains.
6-Apr-81,?,Laguna Soliz, Bolivia,,Bolivia,Bolivia,1580,Urcupina,27720,?,?,Douglas C-47A,CP-1470,19395,7   (passengers:4  crew:3),7 ,7   (passengers:4  crew:3),7 ,0,The cargo plane flew into the ground while trying to avoid bad weather.
13-Jan-84,?,Cochabamba, Bolivia,,Bolivia,Bolivia,1580,North East Bolivian Airways,20160,?,?,Douglas EC-54U,CP-1090,36036,3   (passengers:0  crew:3),3 ,1   (passengers:0  crew:1),1 ,0,"After the No. 2 engine failed on takeoff, the pilot  tried to land but the propellers struck the runway and the aircraft ran off the runway into a ditch."
16-Mar-84,?,San Borja, Bolivia,,Bolivia,Bolivia,1580,Lloyd Aereo Boliviano,16080,?,?,Fairchild F-27M,CP-862,BL-52,23   (passengers:20  crew:3),23 ,23   (passengers:20  crew:3),23 ,0,Crashed into the jungle.
24-Mar-84,?,Near Rurrenabaque, Bolivia,,Bolivia,Bolivia,1580,Frigorifico Reyes,12100,?,?,Douglas C-54,CP-1206,10559,5   (passengers:2  crew:3),5 ,5   (passengers:2  crew:3),5 ,0,"Shortly after the cargo plane took off, the engines began to backfire, the plane lost altitude, the right wing clipped trees and the plane crashed."
1-Jan-85,c 20:30,Near La Paz, Bolivia,,Bolivia,Bolivia,1580,Eastern Air Lines,10970,980,"Asuncion, Paraguay - La Paz, Bolivia",Boeing B-727-225 Adv,N819EA,22556/1793,29   (passengers:19  crew:10),29 ,29   (passengers:19  crew:10),29 ,0,"The aircraft hit Mt. Illimani at an altitude of 19,600 feet after being cleared to descend during an approach to La Paz. The crew did not follow the prescribed airway. Navigation error. Controlled flight into terrain."
20-Apr-85,?,Santa Rosa, Bolivia,,Bolivia,Bolivia,1580,Carga Aereo Transportada,8610,?,?,Convair CV-440,CP-1489,319,4   (passengers:1  crew:3),4 ,4   (passengers:1  crew:3),4 ,0,The cargo plane lost an engine on talkeoff nosed down and crashed.
11-Oct-85,?,Near Beni, Bolivia,,Bolivia,Bolivia,1580,Sabeni,23060,?,Beni - La Paz,Curtiss C-46D,CP-1593,32936,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,Crashed into mountains while en route.
19-May-87,?,Santa Cruz, Bolivia,,Bolivia,Bolivia,1580,YPFB Transportes Aereos,29000,?,Camiri - Santa Cruz,de Havilland Canada DHC-6 Twin Otter 300,CP-1018,363,16   (passengers:13  crew:3),16 ,14   (passengers:11  crew:3),14 ,0,Crashed into high terrain in poor weather.
18-Jan-88,?,Mt. Colorado, Bolivia,,Bolivia,Bolivia,1580,ETA - Empresa Transportes Aéreos,11280,?,?,Curtiss C-46A-55,CP-1244,246,9   (passengers:6  crew:3),9 ,9   (passengers:6  crew:3),9 ,0,Struck Mt. Colorado in poor weather.
17-Jan-89,?,Near La Paz, Bolivia,,Bolivia,Bolivia,1580,Aerolineas La Paz,2040,?,La Paz - Apolo,Douglas DC-3(C-47A-DL),CP-1418,19344,5   (passengers:3  crew:2),5 ,5   (passengers:3  crew:2),5 ,0,The plane went missing en route.
21-Dec-89,c 14:00,Near Guayaramerin, Bolivia,,Bolivia,Bolivia,1580,Military - Bolivian Air Force,17180,?,Guayaramerin - Santa Cruz,Lockheed C-130A,TAM-62,3187,28   (passengers:?  crew:?),28 ,24   (passengers:?  crew:?),24 ,0,The passenger flight crashed into a jungle shortly after taking off.
19-Oct-90,15:25,Near Bella Vista, Bolivia,,Bolivia,Bolivia,1580,BAFIN,7150,?,Bella Vista - La Paz,Douglas C-47B-40-DK,CP-735,15805/33553,4   (passengers:2  crew:2),4 ,4   (passengers:2  crew:2),4 ,0,Disappeared en route. Wreckage found 6 years later in the Andes.
2-Mar-92,16:05,Beni, Bolivia,,Bolivia,Bolivia,1580,Frigorifico Santa Rita,12110,?,Estencia el Trompillo - La Paz,Curtiss C-46T,CP-754,22570,5   (passengers:2  crew:3),5 ,5   (passengers:2  crew:3),5 ,0,"The cargo plane failed to gain altitude, cleared a fence and crashed to the ground. The wet runway contributed to the failure lift off in a timely manner."
21-Aug-92,?,Colorado, Bolivia,,Bolivia,Bolivia,1580,Servicios Aereos Santa Ana,23880,?,La Paz - Santa Ana de Yacuma,Convair CV-440-80,CP-1961,405,10   (passengers:7  crew:3),10 ,10   (passengers:7  crew:3),10 ,0,Crashed into a lake in the Chacaltaya mountains during poor weather conditions.
13-Dec-97,17:05,La Veriente, Bolivia,,Bolivia,Bolivia,1580,STAP,25040,?,Villamontes - Santa Cruz,Swearingen SA-226T Metro II,CP-1635,TC-359,19   (passengers:17  crew:2),19 ,10   (passengers:9  crew:1),10 ,0,"During take off, shortly after the landing gear was retracted, one of the aircraft's engines lost power and the propeller autofeathered. The aircraft rolled to the right, struck trees and crashed inverted."
